ID,TYPE,NAME,ABSTRACT,PREFERENCE,
,,,,,
9,DEMO,PyLTA: A Verification Tool for Parameterized Distributed Algorithms,"We present the tool PyLTA, which can model check parameterized distributed algorithms against LTL specifications. The parameters typically include the number of processes and a bound on faulty processes, and the considered algorithms are round-based and either synchronous or asynchronous.",No,Yes
,,,,,
20,DEMO,Eclipse ESCET™: The Eclipse Supervisory Control Engineering Toolkit,"The Eclipse Supervisory Control Engineering Toolkit (ESCET™) is an open-source project to provide a model-based approach and toolkit for developing supervisory controllers, targeting their entire engineering process. It supports synthesis-based engineering of supervisory controllers for discrete-event systems, combining model-based engineering with computer-aided design to automatically generate correct-by-construction controllers. At its heart is supervisory controller synthesis, a formal technique for the automatic derivation of supervisory controllers from the unrestricted system behavior and system requirements. Vital for the future development of these techniques and tools is the ESCET project’s open environment, allowing industry and academia to collaborate on creating an industrial-strength toolkit. We report on some crucial developments of the toolkit in the context of research projects with Rijkswaterstaat and ASML that have considerably improved its capability to deal with the complexity of real-life systems as well as its usability.",No,
,,,,,
22,DEMO,TRAIAN 3: Towards Formally Developed Formal Tools,"We present the TRAIAN 3 compiler for LNT, a formal method that combines the best features of imperative programming, functional programming, and process calculi. TRAIAN 3 is intensively used for constructing compilers and verification tools, paving the way for formal tools themselves developed using formal methods.",No,
,,,,,
44,DEMO,CoqCryptoLine: A Verified Model Checker with Certified Results,We present the verified model checker CoqCryptoLine for cryptographic programs with certified verification results. The CoqCryptoLine verification algorithm consists of two reductions. The algebraic reduction transforms to the root entailment problem; and the bit vector reduction transforms to the SMT QF_BV problem. We specify and verify both reductions formally using Coq with Ssreflect. The CoqCryptoLine program is built on the OCaml programs extracted from verified reductions. CoqCryptoLine moreover employs certified techniques for solving the algebra and logic problems. We evaluate CoqCryptoLine on cryptographic programs from industrial security libraries.,No,
,,,,,
51,DEMO,WASIM: A Word-level Abstract Symbolic Simulation Framework for Hardware Formal Verification,"This paper demonstrates the design and usage of WASIM, a word-level abstract symbolic simulation framework with pluggable abstraction/refinement functions. WASIM is useful in the formal verification of functional properties on register-transfer level (RTL) hardware designs. Users can control the symbolic simulation process and tune the level of abstraction by interacting with WASIM through its Python API. WASIM can be used to directly check formal properties on symbolic traces or to extract useful fragments from symbolic representations to construct safe inductive invariants as a correctness certificate. We demonstrate the utility of WASIM on the verification of two pipelined hardware designs. WASIM and the case studies will be made available under open-source license after publication.",No,No
,,,,,
76,DEMO,pymwp: A Tool for Guaranteeing Complexity Bounds for C Programs,"Complexity analysis offers assurance of program’s runtime behavior, but large classes of programs remain unanalyzable by existing automated techniques. The mwp-flow analysis sidesteps many difficulties shared by existing approaches, and offers interesting features, such as compositionality, multivariate bounds, and applicability to non-terminating programs. It analyzes resource usage and determines if a program’s variables growth rates are no more than polynomially related to their inputs sizes. This sound calculus, however, is computationally expensive to manipulate, and provides no feedback if the program does not have polynomial bounds. Those two defaults were addressed in a previous work, and prepared for the tool we present here: pymwp, a static complexity analyzer for C programs based on our improved mwp-flow analysis.",No,
,,,,,
